country,year,count,total_count
FRA,1900,46,305
FRA,1908,9,305
FRA,1912,10,305
FRA,1920,13,305
FRA,1924,39,305
FRA,1928,7,305
FRA,1932,23,305
FRA,1936,12,305
FRA,1948,25,305
FRA,1952,14,305
FRA,1956,6,305
FRA,1964,1,305
FRA,1968,12,305
FRA,1972,2,305
FRA,1976,5,305
FRA,1980,18,305
FRA,1984,21,305
FRA,1988,12,305
FRA,1992,9,305
FRA,1996,21,305
GER,1900,11,267
GER,1904,4,267
GER,1908,4,267
GER,1912,10,267
GER,1928,20,267
GER,1932,7,267
GER,1936,88,267
GER,1992,81,267
GER,1996,42,267
JPN,1928,2,157
JPN,1932,10,157
JPN,1936,9,157
JPN,1952,1,157
JPN,1956,4,157
JPN,1960,9,157
JPN,1964,32,157
JPN,1968,16,157
JPN,1972,29,157
JPN,1976,25,157
JPN,1984,10,157
JPN,1988,4,157
JPN,1992,3,157
JPN,1996,3,157
NOR,1908,7,152
NOR,1912,41,152
NOR,1920,58,152
NOR,1924,16,152
NOR,1928,4,152
NOR,1936,1,152
NOR,1948,3,152
NOR,1952,5,152
NOR,1956,1,152
NOR,1960,2,152
NOR,1968,4,152
NOR,1972,2,152
NOR,1976,2,152
NOR,1988,2,152
NOR,1992,2,152
NOR,1996,2,152
AUS,1900,2,151
AUS,1924,3,151
AUS,1928,1,151
AUS,1932,3,151
AUS,1948,2,151
AUS,1952,7,151
AUS,1956,23,151
AUS,1960,10,151
AUS,1964,8,151
AUS,1968,5,151
AUS,1972,11,151
AUS,1980,5,151
AUS,1984,7,151
AUS,1988,18,151
AUS,1992,14,151
AUS,1996,32,151
FRG,1968,16,143
FRG,1972,43,143
FRG,1976,21,143
FRG,1984,31,143
FRG,1988,32,143
NED,1920,14,141
NED,1924,8,141
NED,1928,20,141
NED,1932,2,141
NED,1936,9,141
NED,1948,8,141
NED,1964,5,141
NED,1968,6,141
NED,1972,3,141
NED,1984,20,141
NED,1988,3,141
NED,1992,5,141
NED,1996,38,141
CAN,1900,1,136
CAN,1904,26,136
CAN,1908,17,136
CAN,1912,3,136
CAN,1920,10,136
CAN,1928,7,136
CAN,1932,2,136
CAN,1936,1,136
CAN,1952,1,136
CAN,1956,5,136
CAN,1964,2,136
CAN,1968,3,136
CAN,1984,19,136
CAN,1988,4,136
CAN,1992,27,136
CAN,1996,8,136
YUG,1924,2,131
YUG,1928,1,131
YUG,1952,4,131
YUG,1960,16,131
YUG,1964,2,131
YUG,1968,13,131
YUG,1972,15,131
YUG,1976,2,131
YUG,1980,13,131
YUG,1984,47,131
YUG,1988,15,131
YUG,1996,1,131
IND,1928,15,127
IND,1932,11,127
IND,1936,19,127
IND,1948,20,127
IND,1952,14,127
IND,1956,17,127
IND,1964,15,127
IND,1980,16,127
FIN,1908,1,120
FIN,1912,9,120
FIN,1920,18,120
FIN,1924,24,120
FIN,1928,8,120
FIN,1932,5,120
FIN,1936,7,120
FIN,1948,15,120
FIN,1952,8,120
FIN,1956,3,120
FIN,1960,1,120
FIN,1964,3,120
FIN,1968,1,120
FIN,1972,3,120
FIN,1976,4,120
FIN,1980,3,120
FIN,1984,4,120
FIN,1988,1,120
FIN,1992,1,120
FIN,1996,1,120
CUB,1900,1,105
CUB,1904,4,105
CUB,1972,3,105
CUB,1976,6,105
CUB,1980,8,105
CUB,1992,44,105
CUB,1996,39,105
DEN,1900,1,103
DEN,1912,5,103
DEN,1920,30,103
DEN,1924,2,103
DEN,1928,5,103
DEN,1948,7,103
DEN,1952,3,103
DEN,1956,1,103
DEN,1960,2,103
DEN,1964,7,103
DEN,1968,4,103
DEN,1972,1,103
DEN,1976,3,103
DEN,1980,4,103
DEN,1988,3,103
DEN,1992,3,103
DEN,1996,22,103
