country,year,count,total_count
USA,1900,27,1706
USA,1904,146,1706
USA,1908,34,1706
USA,1912,45,1706
USA,1920,110,1706
USA,1924,110,1706
USA,1928,43,1706
USA,1932,78,1706
USA,1936,51,1706
USA,1948,83,1706
USA,1952,79,1706
USA,1956,61,1706
USA,1960,68,1706
USA,1964,78,1706
USA,1968,83,1706
USA,1972,53,1706
USA,1976,63,1706
USA,1984,168,1706
USA,1988,77,1706
USA,1992,89,1706
USA,1996,160,1706
URS,1952,36,838
URS,1956,68,838
URS,1960,61,838
URS,1964,61,838
URS,1968,66,838
URS,1972,107,838
URS,1976,113,838
URS,1980,192,838
URS,1988,134,838
GBR,1900,48,426
GBR,1904,1,426
GBR,1908,144,426
GBR,1912,44,426
GBR,1920,55,426
GBR,1924,17,426
GBR,1928,6,426
GBR,1932,8,426
GBR,1936,12,426
GBR,1948,6,426
GBR,1952,3,426
GBR,1956,8,426
GBR,1960,2,426
GBR,1964,4,426
GBR,1968,8,426
GBR,1972,8,426
GBR,1976,6,426
GBR,1980,5,426
GBR,1984,9,426
GBR,1988,22,426
GBR,1992,8,426
GBR,1996,2,426
ITA,1900,2,406
ITA,1908,2,406
ITA,1912,18,406
ITA,1920,68,406
ITA,1924,25,406
ITA,1928,18,406
ITA,1932,21,406
ITA,1936,36,406
ITA,1948,20,406
ITA,1952,17,406
ITA,1956,25,406
ITA,1960,36,406
ITA,1964,13,406
ITA,1968,5,406
ITA,1972,9,406
ITA,1976,2,406
ITA,1980,8,406
ITA,1984,29,406
ITA,1988,11,406
ITA,1992,22,406
ITA,1996,19,406
SWE,1908,69,338
SWE,1912,86,338
SWE,1920,53,338
SWE,1924,6,338
SWE,1928,7,338
SWE,1932,12,338
SWE,1936,7,338
SWE,1948,29,338
SWE,1952,23,338
SWE,1956,14,338
SWE,1960,2,338
SWE,1964,3,338
SWE,1968,4,338
SWE,1972,4,338
SWE,1976,9,338
SWE,1980,3,338
SWE,1984,3,338
SWE,1992,1,338
SWE,1996,3,338
HUN,1900,1,333
HUN,1904,2,333
HUN,1908,6,333
HUN,1912,10,333
HUN,1924,2,333
HUN,1928,9,333
HUN,1932,20,333
HUN,1936,25,333
HUN,1948,15,333
HUN,1952,52,333
HUN,1956,30,333
HUN,1960,13,333
HUN,1964,42,333
HUN,1968,32,333
HUN,1972,10,333
HUN,1976,14,333
HUN,1980,8,333
HUN,1988,20,333
HUN,1992,14,333
HUN,1996,8,333
GDR,1968,13,329
GDR,1972,30,329
GDR,1976,99,329
GDR,1980,112,329
GDR,1988,75,329
