country,year,count,total_count
URS,1952,36,512
URS,1956,68,512
URS,1960,61,512
URS,1964,61,512
URS,1968,66,512
URS,1972,107,512
URS,1976,113,512
USA,1952,79,485
USA,1956,61,485
USA,1960,68,485
USA,1964,78,485
USA,1968,83,485
USA,1972,53,485
USA,1976,63,485
HUN,1952,52,193
HUN,1956,30,193
HUN,1960,13,193
HUN,1964,42,193
HUN,1968,32,193
HUN,1972,10,193
HUN,1976,14,193
GDR,1968,13,142
GDR,1972,30,142
GDR,1976,99,142
JPN,1952,1,116
JPN,1956,4,116
JPN,1960,9,116
JPN,1964,32,116
JPN,1968,16,116
JPN,1972,29,116
JPN,1976,25,116
ITA,1952,17,107
ITA,1956,25,107
ITA,1960,36,107
ITA,1964,13,107
ITA,1968,5,107
ITA,1972,9,107
ITA,1976,2,107
FRG,1968,16,80
FRG,1972,43,80
FRG,1976,21,80
EUA,1956,12,68
EUA,1960,34,68
EUA,1964,22,68
POL,1952,1,66
POL,1956,1,66
POL,1960,4,66
POL,1964,10,66
POL,1968,5,66
POL,1972,27,66
POL,1976,18,66
AUS,1952,7,64
AUS,1956,23,64
AUS,1960,10,64
AUS,1964,8,64
AUS,1968,5,64
AUS,1972,11,64
SWE,1952,23,59
SWE,1956,14,59
SWE,1960,2,59
SWE,1964,3,59
SWE,1968,4,59
SWE,1972,4,59
SWE,1976,9,59
YUG,1952,4,52
YUG,1960,16,52
YUG,1964,2,52
YUG,1968,13,52
YUG,1972,15,52
YUG,1976,2,52
IND,1952,14,46
IND,1956,17,46
IND,1964,15,46
NZL,1952,1,41
NZL,1956,3,41
NZL,1960,2,41
NZL,1964,4,41
NZL,1968,5,41
NZL,1972,9,41
NZL,1976,17,41
FRA,1952,14,40
FRA,1956,6,40
FRA,1964,1,40
FRA,1968,12,40
FRA,1972,2,40
FRA,1976,5,40
GBR,1952,3,39
GBR,1956,8,39
GBR,1960,2,39
GBR,1964,4,39
GBR,1968,8,39
GBR,1972,8,39
GBR,1976,6,39
TCH,1952,11,32
TCH,1956,1,32
TCH,1960,4,32
TCH,1964,5,32
TCH,1968,7,32
TCH,1972,2,32
TCH,1976,2,32
PAK,1960,13,26
PAK,1968,13,26
ROU,1952,1,24
ROU,1956,6,24
ROU,1960,3,24
ROU,1964,2,24
ROU,1968,5,24
ROU,1972,3,24
ROU,1976,4,24
FIN,1952,8,23
FIN,1956,3,23
FIN,1960,1,23
FIN,1964,3,23
FIN,1968,1,23
FIN,1972,3,23
FIN,1976,4,23
